6000
Load data
RNN type: UNI Grammar: g1 Seed: 1
Model total parameters: 3780
Saving hinit ... 

Epoch:8 Len:8 Cost:0.0922 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:9 Cost:0.0749 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:10 Cost:0.0580 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:8 Len:11 Cost:0.0212 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:8 Len:12 Cost:0.0997 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:8 Len:13 Cost:0.0166 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:8 Len:16 Cost:0.0577 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:8 Len:19 Cost:0.0202 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:8 Len:22 Cost:0.0653 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:9 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:1 Cost:0.7004 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:2 Cost:1.7653 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:3 Cost:0.5925 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:4 Cost:0.4213 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:5 Cost:0.3343 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:6 Cost:0.1498 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:7 Cost:0.1281 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:8 Cost:0.0953 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:9 Cost:0.0490 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:10 Cost:0.0280 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:9 Len:11 Cost:0.0089 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:9 Len:12 Cost:0.0235 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:9 Len:13 Cost:0.0091 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:9 Len:16 Cost:0.0066 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:9 Len:19 Cost:0.0062 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:9 Len:22 Cost:0.0037 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:10 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:1 Cost:0.6364 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:2 Cost:1.0842 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:3 Cost:0.3958 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:4 Cost:0.4069 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:5 Cost:0.2749 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:6 Cost:0.1492 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:7 Cost:0.0700 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:8 Cost:0.1714 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:9 Cost:0.0771 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:10 Cost:0.0514 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:10 Len:11 Cost:0.0213 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:10 Len:12 Cost:0.0238 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:10 Len:13 Cost:0.0097 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:10 Len:16 Cost:0.0047 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:10 Len:19 Cost:0.0047 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:10 Len:22 Cost:0.0016 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000

--------------------------------------------------------------------
Eval results: Cost:0.0557 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
--------------------------------------------------------------------

Epoch:11 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:1 Cost:0.3918 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:2 Cost:1.2723 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:3 Cost:0.2676 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:4 Cost:0.2504 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:5 Cost:0.2693 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:6 Cost:0.1698 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:7 Cost:0.0548 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:8 Cost:0.0910 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:9 Cost:0.0337 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:10 Cost:0.0399 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:11 Len:11 Cost:0.0126 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:11 Len:12 Cost:0.0162 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:11 Len:13 Cost:0.0052 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:11 Len:16 Cost:0.0103 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:11 Len:19 Cost:0.0028 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:11 Len:22 Cost:0.0048 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:12 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:1 Cost:0.3299 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:2 Cost:1.3473 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:3 Cost:0.1978 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:4 Cost:0.2101 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:5 Cost:0.1878 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:6 Cost:0.1173 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:7 Cost:0.0661 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:8 Cost:0.0781 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:9 Cost:0.0840 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:10 Cost:0.0393 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:12 Len:11 Cost:0.0106 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:12 Len:12 Cost:0.0205 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:12 Len:13 Cost:0.0518 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:12 Len:16 Cost:0.0052 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:12 Len:19 Cost:0.0071 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:12 Len:22 Cost:0.0049 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:13 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:1 Cost:0.3285 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:2 Cost:1.2359 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:3 Cost:0.3364 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:4 Cost:0.7641 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:5 Cost:0.1749 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:6 Cost:0.1379 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:7 Cost:0.1286 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:8 Cost:0.1625 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:9 Cost:0.0639 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:10 Cost:0.0279 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:13 Len:11 Cost:0.0185 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:13 Len:12 Cost:0.0322 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:13 Len:13 Cost:0.0113 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:13 Len:16 Cost:0.0157 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:13 Len:19 Cost:0.0095 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:13 Len:22 Cost:0.0101 Pre:0.0000 Re:0.0000 Acc:1.0000 F1:0.0000
Epoch:14 Len:0 Cost:0.0000 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:1 Cost:0.3637 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:2 Cost:0.7092 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:3 Cost:0.3133 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:4 Cost:0.2529 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:5 Cost:0.2388 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:6 Cost:0.0611 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:7 Cost:0.0232 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:8 Cost:0.0760 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
Epoch:14 Len:9 Cost:0.0104 Pre:1.0000 Re:1.0000 Acc:1.0000 F1:1.0000
